Respondent_Serial,WAVE,resp_gender,resp_age,REGION,LIV,MRK_STATE1,QPID1,QPID_I,QPID_D,QPID_R,GRID_GTS1_1_GTS1,GRID_GTS1_2_GTS1,GRID_GTS1_3_GTS1,GRID_GTS1_4_GTS1,GRID_GTS1_5_GTS1,GRID_GTS2_1_GTS2,GRID_GTS2_2_GTS2,GRID_GTS2_3_GTS2,GRID_GTS2_4_GTS2,GRID_GTS2_5_GTS2,GRID_GTS3_1_GTS3,GRID_GTS3_3_GTS3,GRID_GTS3_4_GTS3,GRID_GTS3_5_GTS3,GRID_GTS3_6_GTS3,GRID_GTS3_7_GTS3,GRID_GTS3_8_GTS3,USHHI2,USEDU3,USHOU1,USMAR2,EMP01_der,KIDS02,USRETH3,USRACE41,USRACE42,USRACE43,USRACE44,USRACE45,USRACE46,USRACE47,USRACE48,Weight
52,1,2,54,3,2,48,3,1,,,20,20,40,20,30,30,10,40,10,20,5,3,2,1,1,1,1,8,10,5,5,4,0,1,1,0,0,0,0,0,0,0,1.909793
54,1,1,32,3,2,51,3,1,,,20,20,21,19,20,19,20,21,20,20,4,4,4,1,2,1,1,17,10,3,2,1,0,1,1,0,0,0,0,0,0,0,1.324039
55,1,1,51,1,2,23,1,,1,,70,60,80,70,65,70,75,80,75,80,5,2,5,1,1,1,1,10,10,3,1,1,0,2,1,0,0,0,0,0,0,0,0.208785
58,1,2,67,1,2,36,1,,2,,70,90,95,90,80,75,90,90,95,50,1,1,4,1,1,1,1,2,5,3,5,4,0,2,1,0,0,0,0,0,0,0,2.640944
59,1,2,33,4,3,32,2,,,2,20,15,20,15,30,25,15,25,10,25,2,2,5,3,5,1,1,16,10,1,3,7,3,2,0,0,0,1,0,0,0,0,0.766219
60,1,1,55,3,2,12,4,3,,,75,100,50,100,50,50,50,50,50,50,1,1,1,1,1,1,1,3,6,3,5,8,0,2,1,0,0,0,0,0,0,0,2.732305
61,1,2,27,3,2,12,3,3,,,55,20,35,10,5,30,12,20,15,2,1,2,1,1,2,2,1,15,11,3,1,1,0,1,0,0,0,0,0,1,0,0,1.245611
63,1,2,28,4,3,32,1,,1,,60,70,25,40,15,60,50,20,40,15,1,1,1,1,1,1,1,16,9,3,3,1,0,2,1,0,0,1,1,0,0,0,1.40475
64,1,2,65,3,2,13,1,,2,,60,90,70,60,70,50,80,50,60,30,4,1,4,1,1,1,1,21,10,1,3,1,0,2,0,1,0,0,0,0,0,0,0.659328
66,1,2,55,1,3,9,3,3,,,70,60,50,50,70,50,50,50,50,60,4,2,4,1,4,1,1,12,10,1,3,1,0,2,0,1,0,0,0,0,0,0,0.286786
67,1,1,22,1,3,36,2,,,2,80,40,90,55,55,90,80,80,70,70,1,1,1,1,1,1,1,19,10,4,1,5,0,2,0,0,0,1,0,0,0,0,0.939294
69,1,2,21,2,2,29,3,1,,,50,50,50,40,50,25,20,35,20,25,1,5,4,4,1,1,1,18,10,3,1,5,0,2,1,0,0,0,0,0,0,0,0.525559
71,1,2,28,4,3,8,2,,,2,75,15,50,5,25,90,50,90,5,40,1,2,1,1,1,1,1,12,9,3,3,6,1,1,1,0,0,0,0,0,0,0,0.486198
72,1,2,58,1,1,25,3,2,,,30,30,25,40,25,30,50,50,75,50,1,1,5,1,1,1,1,21,8,1,3,1,0,2,1,0,0,0,0,0,0,0,1.003961
74,1,2,36,4,2,53,1,,1,,62,55,65,60,65,65,65,67,68,70,2,2,1,3,1,1,1,12,9,3,1,1,0,2,0,1,0,1,0,0,0,0,0.571213
77,1,2,33,2,1,26,2,,,1,10,30,0,20,40,15,20,10,15,40,4,1,5,1,4,1,2,16,10,1,3,7,1,2,1,0,0,0,0,0,0,0,0.983988
79,1,2,53,2,2,17,1,,1,,50,0,0,50,0,0,0,50,50,0,1,1,5,1,1,1,1,1,6,5,4,8,0,2,1,0,0,0,0,0,0,0,1.36546
81,1,1,66,2,2,39,2,,,2,80,10,90,75,25,50,5,50,30,30,1,3,4,1,4,1,1,16,12,1,3,2,0,2,1,0,0,0,0,0,0,0,0.5623
84,1,2,72,4,2,6,1,,2,,60,60,50,50,60,65,65,60,60,65,5,3,5,1,1,1,4,21,10,1,5,2,0,2,1,0,0,0,0,0,0,0,2.159789
85,1,2,31,2,3,55,1,,1,,59,50,60,52,65,54,46,53,50,45,4,3,3,4,1,1,5,19,11,3,2,1,0,2,1,0,0,0,0,0,0,0,0.355557
90,1,2,35,3,3,48,3,3,,,30,20,35,40,30,20,15,10,10,15,1,1,2,1,1,1,1,9,11,5,3,1,0,1,1,0,0,0,0,0,0,0,1.445991
92,1,1,55,3,3,13,2,,,1,55,80,75,38,52,3,48,22,7,20,3,4,3,2,3,5,4,20,10,1,3,1,2,2,1,0,0,0,0,0,0,0,1.268464
93,1,2,32,2,1,27,3,1,,,50,50,40,60,40,40,50,50,50,40,3,4,3,4,3,1,3,21,11,1,3,1,3,2,1,0,0,0,0,0,0,0,0.525559
94,1,2,39,1,2,34,4,3,,,90,25,100,25,25,90,25,50,25,25,5,1,5,2,4,1,1,20,8,3,2,1,3,2,1,0,0,0,0,0,0,0,1.533383
96,1,2,31,3,2,13,4,3,,,45,45,40,30,33,45,40,40,30,33,1,1,1,3,1,1,1,4,8,4,1,9,0,2,1,0,0,0,0,0,0,0,0.595372
98,1,2,51,3,2,22,3,2,,,10,40,10,10,30,5,40,10,10,35,1,1,5,1,2,1,1,19,11,1,3,1,0,2,1,0,0,0,0,0,0,0,0.669033
100,1,2,22,3,1,45,3,3,,,90,30,40,80,70,50,30,70,60,40,2,3,2,3,3,3,2,6,8,3,1,1,1,2,1,0,0,0,0,0,0,0,0.379728
106,1,2,25,1,2,25,3,1,,,75,50,75,30,75,75,30,75,30,75,3,2,3,3,2,2,2,16,10,4,1,1,0,2,1,0,0,0,0,0,0,0,0.56109
111,1,2,48,1,1,34,4,3,,,50,50,30,40,20,30,20,30,30,20,1,1,4,1,5,1,1,21,9,1,3,7,1,2,1,0,0,0,0,0,0,0,1.121605
112,1,1,53,1,3,36,1,,1,,60,20,50,10,40,80,55,65,99,45,4,1,5,5,1,1,1,21,8,2,2,8,0,2,1,0,0,0,0,0,0,0,2.447315
113,1,2,25,4,3,6,2,,,2,5,5,5,10,10,10,10,10,50,10,2,1,2,1,2,2,2,13,5,3,1,1,0,1,0,0,0,0,0,1,0,0,14.406354
115,1,2,19,1,2,34,1,,2,,10,30,40,20,15,10,20,15,25,10,4,4,4,1,1,1,1,1,7,4,1,5,0,1,0,0,0,0,0,1,0,0,1.513652
116,1,2,40,4,2,6,3,1,,,20,20,20,20,20,10,50,10,10,10,4,4,3,4,2,4,4,22,11,1,1,4,0,2,0,0,0,1,0,0,0,0,2.531379
121,1,1,27,2,2,26,3,3,,,20,20,20,20,20,89,67,56,90,78,3,4,2,3,4,3,3,5,9,6,1,9,0,2,1,0,0,0,0,0,0,0,0.643996
124,1,2,74,4,1,16,1,,1,,75,50,50,40,50,50,50,50,50,75,1,1,5,1,1,1,1,8,8,1,3,4,0,2,1,0,0,0,0,0,0,0,0.3414
125,1,2,28,3,2,48,1,,1,,80,30,70,30,70,60,70,50,80,40,5,5,5,2,2,2,1,8,10,3,3,7,0,1,1,0,0,0,0,0,0,0,1.445991
132,1,2,19,2,1,27,2,,,2,65,76,86,82,63,74,95,91,53,64,1,1,1,1,1,1,1,2,7,3,2,2,0,2,1,0,0,0,0,0,0,0,0.330484
135,1,2,45,4,2,6,2,,,1,50,0,50,0,0,0,40,20,20,20,1,1,2,1,3,1,1,7,5,3,5,8,2,2,1,0,0,0,0,0,0,0,4.357727
137,1,2,65,4,2,6,1,,1,,30,40,40,30,35,65,65,70,60,68,5,5,5,5,2,1,5,19,11,1,3,1,0,2,0,1,0,0,0,0,0,0,2.21618
140,1,2,74,3,3,22,3,1,,,65,60,30,75,85,30,75,45,45,40,2,1,5,1,1,1,1,4,8,3,5,4,0,2,1,0,0,0,0,0,0,0,0.420704
141,1,2,59,4,2,6,1,,2,,20,10,40,10,20,20,10,30,20,20,5,1,5,3,2,2,1,20,9,1,4,2,0,2,1,0,0,0,0,0,0,0,4.516434
142,1,2,26,3,1,12,3,3,,,48,39,25,50,53,12,93,33,50,25,5,5,5,1,5,2,2,6,5,4,1,1,0,2,1,0,0,0,0,0,0,0,2.545986
147,1,2,18,4,2,6,1,,1,,100,50,0,0,50,50,0,0,0,50,1,1,1,1,1,1,1,12,5,1,2,7,1,2,1,0,0,0,0,0,0,0,4.977511
148,1,2,24,2,2,39,5,3,,,50,0,100,100,50,50,0,100,100,50,3,3,3,1,3,1,1,3,5,3,3,7,1,2,1,0,0,0,0,0,0,0,3.179754
150,1,1,18,2,2,39,3,1,,,15,30,30,10,15,0,15,45,15,45,4,2,4,5,4,4,3,9,5,1,1,2,0,2,0,0,0,0,0,0,1,0,1.944476
155,1,2,33,4,2,6,1,,1,,50,10,50,25,30,25,30,30,50,30,1,1,4,1,5,1,1,8,7,3,2,1,1,1,0,0,0,0,0,1,0,0,5.092408
160,1,1,70,1,2,34,3,1,,,60,70,80,75,60,70,70,80,80,75,5,4,3,1,1,1,1,21,8,1,3,3,0,2,0,1,0,0,0,0,0,0,1.008913
161,1,2,24,1,2,25,3,1,,,60,60,55,15,55,65,65,55,15,55,2,2,2,1,1,1,1,18,10,4,1,1,0,2,1,0,0,0,0,0,0,0,0.56109
162,1,2,63,4,2,4,2,,,1,48,52,55,35,40,55,45,55,60,40,3,4,2,4,4,1,1,19,11,1,4,2,0,2,1,0,0,0,0,0,0,0,0.4444
165,1,2,32,3,2,12,5,3,,,100,80,90,90,90,80,90,95,90,85,2,1,3,4,2,1,1,8,6,3,2,1,0,1,1,0,0,0,0,0,0,0,7.181318
167,1,2,24,3,3,48,5,1,,,80,50,60,40,50,70,38,30,40,40,3,2,2,1,1,1,1,13,10,4,1,8,0,2,0,1,0,0,0,0,0,0,0.526031
170,1,1,33,3,2,47,5,2,,,60,15,5,5,10,40,50,5,5,0,1,1,1,1,1,1,1,13,10,3,3,1,2,2,1,0,0,0,0,0,0,0,0.254522
173,1,1,19,1,3,36,1,,1,,15,20,5,10,50,15,10,25,25,25,5,5,4,1,1,1,1,6,5,4,1,5,0,2,0,0,0,1,0,0,0,0,1.895179
175,1,2,40,1,2,9,3,3,,,80,50,50,40,40,80,40,50,40,40,1,1,1,1,1,1,1,15,8,3,3,7,4,2,1,0,0,0,0,0,0,0,0.352827
176,1,2,55,3,1,13,2,,,1,60,20,20,25,30,60,40,20,25,30,1,1,1,1,5,1,1,14,9,3,3,2,0,2,1,0,0,0,0,0,0,0,0.458274
177,1,1,60,1,2,34,1,,2,,95,0,70,40,45,90,0,70,20,45,5,1,5,1,1,1,1,22,8,3,5,3,0,2,1,0,0,0,0,0,0,0,0.983241
181,1,2,22,3,3,21,3,1,,,40,50,40,10,20,10,15,10,5,10,5,5,5,2,5,1,1,16,10,1,1,5,0,2,0,0,0,1,0,0,0,0,0.922035
182,1,2,34,4,2,6,5,3,,,90,75,60,60,80,80,60,75,80,80,2,1,3,1,1,1,1,19,10,3,3,1,2,2,1,0,0,0,1,0,0,0,2.531379
183,1,2,43,1,3,36,2,,,2,10,15,65,10,10,10,5,50,20,15,4,4,4,4,5,5,4,16,2,1,3,1,1,2,1,0,0,0,0,0,0,0,10.684965
187,1,2,29,4,2,4,2,,,1,10,20,50,20,10,10,20,40,20,10,1,2,1,1,1,2,1,8,8,1,3,1,3,1,1,0,0,0,0,0,0,0,0.995884
190,1,1,62,3,2,24,1,,1,,60,60,40,70,80,80,70,65,70,80,5,4,5,4,1,1,2,14,11,3,1,8,0,2,1,0,0,0,0,0,0,0,0.255937
193,1,1,51,3,2,12,3,1,,,60,40,50,70,80,70,50,90,70,80,5,3,5,4,1,5,3,17,9,1,3,1,3,2,0,1,0,0,0,0,0,0,2.905752
197,1,2,25,3,2,48,2,,,2,65,28,80,45,62,60,50,56,69,70,2,2,3,2,3,1,1,3,7,3,1,8,0,2,1,0,0,0,0,0,0,0,1.072018
198,1,2,63,1,2,36,3,3,,,65,78,65,85,59,56,85,75,53,62,2,1,5,2,1,1,1,19,10,1,3,1,0,2,1,0,0,0,0,0,0,0,1.308912
199,1,2,50,1,2,9,2,,,1,25,0,50,25,0,5,10,30,25,30,1,1,5,1,1,1,1,20,9,1,3,1,0,2,1,0,0,0,0,0,0,0,1.003961
201,1,1,39,4,2,53,2,,,2,70,60,80,75,60,80,80,90,75,80,4,2,4,2,2,1,1,20,7,4,2,1,0,2,1,0,0,0,0,0,0,0,0.963206
210,1,2,18,3,2,12,5,3,,,20,10,30,10,10,50,50,90,20,60,1,4,2,1,2,1,1,12,5,4,1,5,1,2,0,0,0,0,0,1,0,0,2.612461
211,1,2,23,2,2,17,1,,2,,30,10,20,20,25,10,10,5,15,7,3,2,2,2,1,1,1,3,10,4,1,2,0,2,0,0,0,1,0,0,0,0,0.390951
212,1,2,37,4,1,35,1,,2,,30,40,70,50,70,70,50,75,50,50,2,4,2,2,2,2,2,3,8,1,3,5,0,1,1,0,0,0,0,0,0,0,0.486198
213,1,1,40,2,2,39,5,1,,,65,10,40,60,65,55,5,50,60,65,2,2,2,1,1,1,1,12,11,3,2,1,2,2,0,0,0,1,0,0,0,0,0.328691
216,1,2,70,3,3,13,1,,2,,60,80,80,80,80,60,80,80,80,80,5,5,5,1,2,1,1,22,10,1,3,4,0,2,1,0,0,0,0,0,0,0,0.642551
218,1,1,19,4,2,6,1,,1,,65,45,41,32,12,79,45,32,31,21,1,2,2,1,1,1,1,1,5,3,1,8,0,1,1,0,0,0,0,0,0,0,10.767715
219,1,2,32,3,2,12,1,,2,,55,65,40,40,60,60,60,60,60,60,1,2,2,2,1,1,1,17,12,1,3,3,0,2,1,0,0,0,0,0,0,0,1.261849
220,1,2,18,1,3,42,4,3,,,70,50,70,50,50,80,50,70,50,50,1,2,1,1,1,1,1,19,5,4,1,9,0,1,0,0,0,0,0,1,0,0,10.60271
222,1,2,44,3,1,37,3,1,,,0,5,10,10,75,10,5,5,10,70,3,1,3,1,3,1,1,10,9,3,4,3,0,2,1,0,0,0,0,0,0,0,0.591127
223,1,2,24,4,3,4,1,,2,,60,40,60,50,30,40,20,40,30,20,1,4,1,5,1,1,1,11,10,3,1,1,0,2,1,0,0,0,0,0,0,0,0.16884
225,1,2,74,2,3,17,1,,1,,65,35,45,40,60,75,65,55,76,65,1,1,1,1,1,1,1,6,5,3,3,7,0,2,1,0,0,0,0,0,0,0,1.36546
229,1,2,23,3,3,11,1,,1,,0,50,0,50,0,0,25,0,50,25,2,1,1,2,3,2,2,3,5,3,2,1,2,2,0,1,0,0,0,0,0,0,1.571238
238,1,2,52,4,1,6,2,,,2,90,80,75,50,50,90,85,50,50,50,1,1,5,1,1,1,1,4,9,1,5,8,0,2,1,0,0,0,0,0,0,0,1.540384
239,1,1,32,2,2,27,3,3,,,60,50,60,50,50,60,50,60,50,50,2,1,2,1,2,1,1,7,8,3,1,8,0,2,1,0,0,0,0,0,0,0,0.436635
245,1,2,63,2,3,19,2,,,2,15,35,20,20,10,5,40,25,25,5,1,2,4,1,4,3,1,10,10,1,3,4,0,2,1,0,0,0,0,0,0,0,0.162044
249,1,2,69,3,3,54,2,,,1,0,10,10,10,10,10,5,10,0,10,4,3,5,2,5,3,2,7,8,3,4,4,0,2,1,0,0,0,0,0,0,0,0.420704
250,1,1,24,3,2,51,3,2,,,50,25,75,10,10,75,30,85,15,15,1,4,1,1,1,1,1,1,10,3,1,5,0,2,1,0,0,0,0,0,0,0,0.160098
252,1,1,35,4,1,8,3,1,,,65,65,50,25,52,40,50,20,10,40,2,2,2,1,1,1,1,19,10,1,3,3,0,2,1,0,0,0,0,0,0,0,0.654001
255,1,2,41,3,1,12,2,,,2,25,25,50,50,25,30,20,30,50,20,1,1,5,1,4,1,1,15,10,1,3,2,2,2,1,0,0,0,0,0,0,0,0.430369
256,1,1,67,1,2,42,4,2,,,30,30,40,25,25,30,40,30,30,30,1,1,2,1,5,4,1,10,7,1,3,4,0,2,1,0,0,0,0,0,0,0,0.454628
258,1,2,38,4,2,53,2,,,2,40,20,50,30,50,30,40,60,30,40,2,2,2,1,2,1,1,19,10,1,3,7,2,2,1,0,0,0,0,0,0,0,0.780524
260,1,2,41,1,2,34,1,,2,,50,25,25,25,15,25,25,25,25,25,2,2,2,1,2,1,1,19,8,1,3,1,1,2,1,0,0,0,0,0,0,0,1.533383
262,1,2,38,3,3,48,1,,2,,70,50,70,70,65,50,80,50,50,50,3,2,4,1,2,1,1,8,10,3,1,1,1,2,1,0,0,0,0,0,0,0,0.512646
264,1,1,21,4,3,16,1,,2,,70,20,100,50,80,50,60,100,50,100,2,1,3,1,1,1,1,11,7,3,1,2,0,1,0,0,1,0,0,0,0,0,0.967491
273,1,1,25,4,2,8,3,3,,,90,50,80,80,50,98,80,90,80,90,3,3,2,1,1,2,2,12,10,3,1,1,0,1,1,0,0,0,0,0,0,0,0.345618
275,1,2,61,4,3,6,2,,,2,20,60,50,65,10,40,50,50,50,10,1,1,1,1,4,4,1,13,11,1,3,9,0,2,0,0,0,1,0,0,0,0,0.755855
278,1,2,18,3,2,21,3,1,,,85,65,75,60,55,85,65,85,60,65,3,4,3,4,1,2,3,20,8,3,1,2,0,2,1,0,0,0,0,0,0,0,1.107107
283,1,1,24,2,3,39,1,,2,,20,20,10,20,30,20,20,20,20,20,4,4,4,4,3,3,3,5,10,1,1,3,0,2,0,0,0,1,0,0,0,0,0.328691
284,1,1,23,2,3,17,3,2,,,70,30,20,30,40,60,40,30,50,60,1,1,1,1,1,1,1,21,10,2,1,5,0,2,1,0,0,0,0,0,0,0,1.454623
285,1,1,40,4,3,8,2,,,2,60,30,40,20,30,10,20,20,20,30,4,3,4,3,2,5,2,22,11,1,3,1,1,2,1,0,0,0,0,0,0,0,0.654001
287,1,1,26,1,3,42,1,,1,,0,25,0,25,50,0,25,0,25,50,1,2,2,1,1,3,3,9,5,1,2,1,0,2,0,1,0,0,0,0,0,0,2.206717
295,1,2,32,3,3,47,2,,,2,62,60,64,60,48,30,24,60,80,20,3,2,3,1,2,1,1,11,10,3,1,1,0,2,1,0,0,0,0,0,0,0,0.207122
296,1,1,70,4,1,6,3,3,,,70,70,60,50,35,90,80,75,70,50,2,1,5,4,1,1,1,19,10,1,3,4,0,2,1,0,0,0,0,0,0,0,2.071277
297,1,1,23,4,3,6,3,1,,,19,25,50,62,10,13,97,14,1,11,4,5,3,1,4,2,2,15,12,6,1,9,2,2,0,0,0,1,0,0,0,0,0.662146
299,1,1,36,4,1,6,3,1,,,4,0,0,96,0,1,1,0,98,0,3,3,2,3,4,2,2,1,7,1,3,3,0,2,1,0,0,0,0,0,0,0,1.349412
306,1,2,73,1,1,36,1,,2,,60,10,20,20,70,70,20,20,20,50,1,1,5,1,1,1,1,22,5,5,5,4,1,2,1,0,0,0,0,0,0,0,7.743294
309,1,1,29,2,2,39,1,,2,,55,35,30,25,38,52,35,30,46,29,3,3,4,2,1,1,2,13,8,3,1,1,0,2,1,0,0,0,0,0,0,0,0.66985
313,1,1,21,3,2,24,4,2,,,70,40,80,60,20,80,80,75,90,70,1,1,1,1,1,1,1,19,10,3,1,5,0,2,1,0,0,0,0,0,0,0,0.742065
319,1,2,65,4,2,6,1,,1,,60,50,80,100,80,60,65,100,100,80,3,2,3,3,1,1,3,11,11,1,5,1,0,2,1,0,0,0,0,0,0,0,0.736622
321,1,1,50,4,3,6,1,,2,,20,20,20,20,20,70,99,75,100,80,1,3,2,2,3,4,2,21,11,1,3,1,2,2,1,0,0,0,0,0,0,0,2.071277
325,1,1,32,4,2,53,3,1,,,0,0,50,0,50,0,0,50,0,50,1,1,2,2,1,1,1,11,9,3,5,1,1,1,1,0,0,0,0,0,0,0,0.926618
330,1,1,29,2,2,39,2,,,1,50,25,25,25,25,50,25,25,25,25,1,1,1,1,2,1,1,19,10,2,3,1,0,2,1,0,0,0,0,0,0,0,0.939204
333,1,1,42,2,3,19,2,,,2,70,69,75,89,80,90,70,90,49,80,4,3,3,4,2,3,3,3,13,1,3,1,2,2,1,0,0,0,0,0,0,0,0.238162
338,1,2,28,2,2,27,1,,2,,80,50,75,50,60,95,75,90,75,90,2,2,2,2,1,1,1,19,10,3,2,8,1,2,1,0,0,0,0,0,0,0,0.525559
341,1,2,71,3,3,5,1,,1,,25,15,20,15,30,25,15,20,15,30,4,2,5,1,4,1,1,12,10,1,3,4,0,2,0,0,0,0,0,0,1,0,0.350376
344,1,1,64,2,2,29,2,,,1,20,20,20,49,10,10,10,10,10,10,1,1,1,1,5,2,1,10,5,2,3,4,0,2,1,0,0,0,0,0,0,0,0.951172
360,1,2,26,3,3,51,4,3,,,70,20,40,35,40,80,55,50,45,60,1,1,1,1,1,1,1,8,11,3,2,1,0,2,1,0,0,0,0,0,0,0,0.258946
379,1,2,65,2,3,18,3,3,,,10,10,20,20,50,30,10,20,30,10,2,2,5,1,1,1,2,15,5,1,3,4,0,2,1,0,0,0,0,0,0,0,0.805089
385,1,2,56,3,2,22,3,2,,,0,40,20,20,20,0,10,50,10,30,4,1,3,1,2,2,1,19,5,1,3,4,0,2,1,0,0,0,0,0,0,0,3.323983
395,1,1,45,4,3,6,1,,1,,70,70,70,90,50,80,75,80,90,75,2,2,1,1,2,1,2,20,11,1,3,1,1,2,1,0,0,0,0,0,0,0,2.071277
399,1,2,53,4,2,8,1,,1,,25,5,25,10,35,20,5,35,10,25,1,2,4,1,1,1,1,20,11,1,5,1,1,2,1,0,0,0,0,0,0,0,0.542918
406,1,1,33,4,3,15,1,,1,,59,65,65,60,65,70,70,70,70,70,1,3,5,1,1,1,1,13,13,3,3,1,0,1,1,0,0,0,0,0,0,0,0.345618
431,1,2,34,4,1,2,3,2,,,0,10,40,0,50,20,20,20,20,20,1,2,3,1,2,2,3,10,7,3,1,1,1,2,1,0,0,0,0,0,0,0,0.315557
